Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGR	WAP	LBL
VAN EETVELT Lennert	5	Lotto Intermarché	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CICCONE Giulio	5	Lidl - Trek	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
HIRSCHI Marc	5	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SCARONI Christian	5	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
UIJTDEBROEKS Cian	5	Movistar Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
PELLIZZARI Giulio	5	Red Bull - BORA - hansgrohe	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KÜNG Stefan	5	Tudor Pro Cycling Team	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARTINEZ Lenny	5	Bahrain - Victorious	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TIBERI Antonio	5	Bahrain - Victorious	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUITRAGO Santiago	5	Bahrain - Victorious	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALL Felix	5	Decathlon CMA CGM Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONLEY Oscar	5	INEOS Grenadiers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAUQUELIN Kévin	5	INEOS Grenadiers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
GEE-WEST Derek	5	Lidl - Trek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HINDLEY Jai	5	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O'CONNOR Ben	5	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUSS Sepp	5	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STORER Michael	5	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VINE Jay	5	UAE Team Emirates - XRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YATES Adam	5	UAE Team Emirates - XRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NARVÁEZ Jhonatan	5	UAE Team Emirates - XRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ANDRESEN Tobias Lund	4	Decathlon CMA CGM Team	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0
MOZZATO Luca	4	Tudor Pro Cycling Team	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0
GROENEWEGEN Dylan	4	Unibet Rose Rockets	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
REX Laurenz	4	Soudal - Quick Step	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
KANTER Max	4	XDS Astana Team	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
ABRAHAMSEN Jonas	4	Uno-X Mobility	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0
KUBIŠ Lukáš	4	Unibet Rose Rockets	1	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0
BERCKMOES Jenno	4	Lotto Intermarché	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0
VERMEERSCH Gianni	4	Red Bull - BORA - hansgrohe	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0
BITTNER Pavel	4	Team Picnic PostNL	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0
LAMPERTI Luke	4	EF Education - EasyPost	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0
PITHIE Laurence	4	Red Bull - BORA - hansgrohe	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0
MOLANO Juan Sebastián	4	UAE Team Emirates - XRG	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0
TEUNISSEN Mike	4	XDS Astana Team	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0
PENHOËT Paul	4	Groupama - FDJ United	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
TURGIS Anthony	4	TotalEnergies	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0
ACKERMANN Pascal	4	Team Jayco AlUla	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0
STRONG Corbin	4	NSN Cycling Team	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GARCÍA CORTINA Iván	4	Movistar Team	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0
JEANNIÈRE Emilien	4	TotalEnergies	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0
BOL Cees	4	Decathlon CMA CGM Team	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0
MORGADO António	4	UAE Team Emirates - XRG	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0
AULAR Orluis	4	Movistar Team	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0
POLITT Nils	4	UAE Team Emirates - XRG	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0
MENTEN Milan	4	Lotto Intermarché	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
LAPEIRA Paul	4	Decathlon CMA CGM Team	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
THIJSSEN Gerben	4	Alpecin-Premier Tech	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
ARANBURU Alex	4	Cofidis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
BALLERINI Davide	4	XDS Astana Team	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0
WATSON Samuel	4	INEOS Grenadiers	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
DAINESE Alberto	4	Soudal - Quick Step	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
PLUIMERS Rick	4	Tudor Pro Cycling Team	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0
VANSEVENANT Mauri	4	Soudal - Quick Step	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
SEGAERT Alec	4	Bahrain - Victorious	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0
MARIT Arne	4	Red Bull - BORA - hansgrohe	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0
MCNULTY Brandon	4	UAE Team Emirates - XRG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
BILBAO Pello	4	Bahrain - Victorious	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
TURNER Ben	4	INEOS Grenadiers	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
TEUNS Dylan	4	Cofidis	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1
ZINGLE Axel	4	Team Visma | Lease a Bike	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
VAN POPPEL Danny	4	Red Bull - BORA - hansgrohe	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
ASGREEN Kasper	4	EF Education - EasyPost	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0
TARLING Joshua	4	INEOS Grenadiers	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0
ALAPHILIPPE Julian	4	Tudor Pro Cycling Team	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
COQUARD Bryan	4	Cofidis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
SCHACHMANN Maximilian	4	Soudal - Quick Step	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1
DE BONDT Dries	4	Team Jayco AlUla	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0
MADOUAS Valentin	4	Groupama - FDJ United	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0
WRIGHT Fred	4	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0
VAN DEN BERG Marijn	4	EF Education - EasyPost	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIHKELS Madis	4	EF Education - EasyPost	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0
HERMANS Quinten	4	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1
JAKOBSEN Fabio	4	Team Picnic PostNL	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
KRAGH ANDERSEN Søren	4	Lidl - Trek	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
TRATNIK Jan	4	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1
SCHMID Mauro	4	Team Jayco AlUla	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1
