Race	Rnk	Rider	Team	UCI	Pnt	Time
SAM	76	 Van Petegem Axandre	Tarteletto - Isorex			,,
SAM	77	 Zabelinskiy Bogdan 	Aarco			,,
SAM	78	 van den Berg Julius	Team Picnic PostNL			,,
SAM	79	 Bolle Bert	VolkerWessels Cycling Team			,,
SAM	80	 Lauryssen Yorben	Tarteletto - Isorex			,,
SAM	81	 Marcerou Nicola	TotalEnergies			,,
SAM	82	 Thierry Pierre	TotalEnergies			,,
SAM	83	 Bruttomesso Alberto	Bahrain - Victorious			,,
SAM	84	 Woets Mattanja	VolkerWessels Cycling Team			,,
SAM	85	 Dupont Timothy	Tarteletto - Isorex			,,
SAM	86	 Svrček Martin	Soudal Quick-Step			,,
SAM	87	 Maas Marijn	BEAT CC p/b Saxo			,,
SAM	88	 Maas Jan	Cofidis			,,
SAM	89	 Coppens Michiel	BEAT CC p/b Saxo			,,
SAM	90	 Kogut Oded	NSN Cycling Team			,,
SAM	91	 Pickrell Riley	Modern Adventure Pro Cycling			,,
SAM	92	 Flynn Sean	Team Picnic PostNL			,,
SAM	93	 Lecroq Jérémy	St Michel - Preference Home - Auber93			,,
SAM	94	 Berger Antoine	St Michel - Preference Home - Auber93			,,
SAM	95	 Renard-Haquin Henri-François	Team Picnic PostNL			,,
SAM	96	 Théot Killian	Van Rysel Roubaix			,,
SAM	97	 Thijssen Gerben	Alpecin-Premier Tech			,,
SAM	98	 Stewart Mark	Modern Adventure Pro Cycling			,,
SAM	99	 Van Lerberghe Bert	Soudal Quick-Step			,,
SAM	100	 Magagnotti Alessio	Red Bull - BORA - hansgrohe			,,
SAM	101	 Bastiaens Ayco	Soudal Quick-Step			,,
SAM	102	 Dillier Silvan	Alpecin-Premier Tech			,,
SAM	103	 Avoine Kévin 	Van Rysel Roubaix			,,
SAM	104	 Groenewegen Dylan	Unibet Rose Rockets			,,
SAM	105	 Bouquet Axel	St Michel - Preference Home - Auber93			,,
SAM	106	 Appel Stijn 	BEAT CC p/b Saxo			,,
SAM	107	 Årnes Daniel	Van Rysel Roubaix			,,
SAM	108	 Heremans Joppe	Van Rysel Roubaix			,,
SAM	109	 Rickaert Jonas	Alpecin-Premier Tech			,,
SAM	110	 Melotte Matteo	Color Code - Alu Center			03:25
SAM	111	 Dehairs Simon	Alpecin-Premier Tech			03:30
SAM	112	 Roosen Timo	Team Picnic PostNL			03:45
SAM	113	 Mattio Pietro	Team Visma | Lease a Bike			,,
SAM	114	 Marx Louis	Color Code - Alu Center			03:52
SAM	115	 Fontaine Titouan	Groupama - FDJ United			03:58
SAM	116	 van der Wal Rik	EEW-VDK Cyclingteam			04:10
SAM	117	 Tendon Arnaud	Van Rysel Roubaix			,,
SAM	118	 Feldmann Karsten Larsen	Unibet Rose Rockets			04:30
SAM	119	 Harteel Jelle	Tarteletto - Isorex			,,
SAM	120	 Taillieu Aldo	Team Visma | Lease a Bike			,,
SAM	121	 Bénéteau Lucas 	St Michel - Preference Home - Auber93			,,
SAM	122	 Delacroix Théo	St Michel - Preference Home - Auber93			,,
SAM	123	 Vadic Baptiste 	TotalEnergies			,,
SAM	124	 Kroonen Max	BEAT CC p/b Saxo			,,
SAM	125	 van Sintmaartensdijk Daan	BEAT CC p/b Saxo			,,
SAM	126	 Claeys Robbe	VolkerWessels Cycling Team			,,
SAM	127	 Oosterlinck Joes	Van Rysel Roubaix			04:54
SAM	128	 Abma Elmar	VolkerWessels Cycling Team			,,
SAM	129	 McDonald Brody	Modern Adventure Pro Cycling			05:10
SAM	130	 King Matthew	Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team			,,
SAM	131	 Mouris Michiel	Red Bull - BORA - hansgrohe			,,
SAM	132	 Desmarets Julien	Color Code - Alu Center			05:37
SAM	133	 Jacques Lucas	Color Code - Alu Center			,,
SAM	134	 George Alfred	Elite Fondations Cycling Team			06:10
SAM	DNF	 Van Niekerk Morné	St Michel - Preference Home - Auber93			
SAM	DNF	 Price-Pejtersen Johan	Alpecin-Premier Tech			
SAM	DNF	 Milan Matteo	Groupama - FDJ United			
SAM	DNF	 Jakobsen Fabio	Team Picnic PostNL			
SAM	DNF	 Scheldeman Xander	Team Picnic PostNL			
SAM	DNF	 Drizners Jarrad	Red Bull - BORA - hansgrohe			
SAM	DNF	 Van den Haute Milan	Team Flanders - Baloise			
SAM	DNF	 Vandenbranden Noah	Team Flanders - Baloise			
SAM	DNF	 Grupp Louis	Team Lotto Kern-Haus Outlet Montabaur			
SAM	DNF	 Behrens Eike	Team Lotto Kern-Haus Outlet Montabaur			
SAM	DNF	 Jablonski Ole	Team Lotto Kern-Haus Outlet Montabaur			
SAM	DNF	 Rottmann Jonathan Malte	Team Lotto Kern-Haus Outlet Montabaur			
SAM	DNF	 Van Tricht Floris	NSN Cycling Team			
SAM	DNF	 Pirinen Miko	NSN Cycling Team			
SAM	DNF	 Dekker David	BEAT CC p/b Saxo			
SAM	DNF	 Paardekooper Thijmen	VolkerWessels Cycling Team			
SAM	DNF	 De Dobbelaere Born	VolkerWessels Cycling Team			
SAM	DNF	 Uptegrove Ed	EEW-VDK Cyclingteam			
SAM	DNF	 Bouma Jelle	EEW-VDK Cyclingteam			
SAM	DNF	 Schulten Chiel	EEW-VDK Cyclingteam			
SAM	DNF	 Huitema Jasper	EEW-VDK Cyclingteam			
SAM	DNF	 Reinders Elmar	Unibet Rose Rockets			
SAM	DNF	 Rigole Brian	Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team			
SAM	DNF	 Nielsen Magnus Lorents	Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team			
SAM	DNF	 Gullhav Kristoffer	Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Continental Team			
SAM	DNF	 Christian Sean	Modern Adventure Pro Cycling			
SAM	DNF	 Caudell Ezra	Modern Adventure Pro Cycling			
SAM	DNF	 Boardman Samuel	Modern Adventure Pro Cycling			
SAM	DNF	 Noirhomme Arnaud	Color Code - Alu Center			
SAM	DNF	 Wertz Hugo	Color Code - Alu Center			
SAM	DNF	 Cardinal Nathan	Color Code - Alu Center			
SAM	DNF	 Bögli Noah	Elite Fondations Cycling Team			
SAM	DNF	 Rouiller Loris	Elite Fondations Cycling Team			
SAM	DNF	 Blum Elia	Elite Fondations Cycling Team			
SAM	DNF	 Lowagie Arthur	Aarco			
SAM	DNF	 Staes Gibbe	Aarco			
SAM	DNS	 Laporte Christophe	Team Visma | Lease a Bike			
STR	1	 Pogačar Tadej	UAE Team Emirates - XRG	500	225
STR	2	 Seixas Paul	Decathlon CMA CGM Team	400	150
STR	3	 del Toro Isaac	UAE Team Emirates - XRG	325	110
STR	4	 Grégoire Romain	Groupama - FDJ United	275	90
STR	5	 Vermeersch Gianni	Red Bull - BORA - hansgrohe	225	80
STR	6	 Christen Jan	UAE Team Emirates - XRG	175	70
STR	7	 Pidcock Thomas	Pinarello Q36.5 Pro Cycling Team	150	60
STR	8	 Jorgenson Matteo	Team Visma | Lease a Bike	125	50
STR	9	 Kron Andreas	Uno-X Mobility	100	46
STR	10	 van Aert Wout	Team Visma | Lease a Bike	85	42
STR	11	 Labrosse Jordan	Decathlon CMA CGM Team	70	38
STR	12	 Healy Ben	EF Education - EasyPost	60	34
STR	13	 Valgren Michael	EF Education - EasyPost	50	30
STR	14	 Lapeira Paul	Decathlon CMA CGM Team	40	26
STR	15	 Vansevenant Mauri	Soudal Quick-Step	35	22
STR	16	 Vendrame Andrea	Team Jayco AlUla	30	20
STR	17	 Braz Afonso Clément	Groupama - FDJ United	30	18
STR	18	 Bilbao Pello	Bahrain - Victorious	30	17
STR	19	 Zana Filippo	Soudal Quick-Step	30	16
STR	20	 Alaphilippe Julian	Tudor Pro Cycling Team	30	15
STR	21	 Pescador Diego	Movistar Team	20	14
STR	22	 Venturini Clément	Unibet Rose Rockets	20	13
STR	23	 Johannessen Tobias Halland	Uno-X Mobility	20	12
STR	24	 Mohorič Matej	Bahrain - Victorious	20	11
STR	25	 Boichis Adrien	Red Bull - BORA - hansgrohe	20	10
STR	26	 Planckaert Edward	Alpecin-Premier Tech	20	9
STR	27	 Eulálio Afonso	Bahrain - Victorious	20	8
STR	28	 Garofoli Gianmarco	Soudal Quick-Step	20	7
STR	29	 Gautherat Pierre	Decathlon CMA CGM Team	20	6
STR	30	 Gualdi Simone	Lotto Intermarché	20	5
STR	31	 Laurance Axel	INEOS Grenadiers	10	5
STR	32	 Sobrero Matteo	Lidl - Trek	10	5
STR	33	 Miquel Pau	Bahrain - Victorious	10	5
STR	34	 Silva Guillermo Thomas	XDS Astana Team	10	5
STR	35	 Dversnes Lavik Fredrik	Uno-X Mobility	10	5
STR	36	 Lecerf Junior	Soudal Quick-Step	10	5
STR	37	 Koerdt Bjorn	Team Picnic PostNL	10	5
STR	38	 Donovan Mark	Pinarello Q36.5 Pro Cycling Team	10	5
STR	39	 Carapaz Richard	EF Education - EasyPost	10	5
STR	40	 L'Hote Antoine	Decathlon CMA CGM Team	10	5
STR	41	 Martí Pau	NSN Cycling Team	10	5
STR	42	 Madouas Valentin	Groupama - FDJ United	10	5
STR	43	 Schrettl Marco	XDS Astana Team	10	5
STR	44	 Poels Wout	Unibet Rose Rockets	10	5
STR	45	 Velasco Simone	XDS Astana Team	10	5
STR	46	 Van Moer Brent	Pinarello Q36.5 Pro Cycling Team	10	5
STR	47	 Loockx Lander	Unibet Rose Rockets	10	5
STR	48	 Turconi Filippo	Bardiani CSF 7 Saber	10	5
STR	49	 Geniets Kevin	Groupama - FDJ United	10	5
STR	50	 Busatto Francesco	Alpecin-Premier Tech	10	5
STR	51	 Vermeersch Florian	UAE Team Emirates - XRG	5	5
STR	52	 Großschartner Felix	UAE Team Emirates - XRG	5	5
STR	53	 Haig Jack	INEOS Grenadiers	5	5
STR	54	 Vermaerke Kevin	UAE Team Emirates - XRG	5	5
STR	55	 Rex Tim	Team Visma | Lease a Bike	5	5
STR	56	 Shaw James	EF Education - EasyPost	3	5
STR	57	 Rolland Brieuc	Groupama - FDJ United	3	5
STR	58	 Toneatti Davide	XDS Astana Team	3	5
STR	59	 Mühlberger Gregor	Decathlon CMA CGM Team	3	5
STR	60	 Kielich Timo	Team Visma | Lease a Bike	3	5
STR	61	 Isidore Noa	Decathlon CMA CGM Team		5
STR	62	 Johannessen Anders Halland	Uno-X Mobility		5
STR	63	 Simmons Quinn	Lidl - Trek		5
STR	64	 Slock Liam	Lotto Intermarché		5
STR	65	 Voisard Yannis	Tudor Pro Cycling Team		5
STR	66	 Zoccarato Samuele	MBH Bank CSB Telecom Fort		5
STR	67	 Honoré Mikkel Frølich	EF Education - EasyPost		5
STR	68	 Christophersen Cedrik Bakke	Unibet Rose Rockets		5
STR	69	 Champoussin Clément	XDS Astana Team		5
STR	70	 Valter Attila	Bahrain - Victorious		5
STR	71	 Meurisse Xandro	Pinarello Q36.5 Pro Cycling Team		5
STR	72	 Sevilla Diego Pablo	Team Polti VisitMalta		5
STR	73	 Verstrynge Emiel	Alpecin-Premier Tech		5
STR	74	 Foldager Anders	Team Jayco AlUla		5
STR	75	 Rivera Brandon Smith	INEOS Grenadiers		5
STR	76	 Del Grosso Tibor	Alpecin-Premier Tech		5
STR	77	 Cattaneo Mattia	Red Bull - BORA - hansgrohe		5
STR	78	 Magli Filippo	Bardiani CSF 7 Saber		5
STR	79	 Pellizzari Giulio	Red Bull - BORA - hansgrohe		5
STR	80	 Marcellusi Martin	Bardiani CSF 7 Saber		5
STR	81	 Konrad Patrick	Lidl - Trek		5
STR	82	 Côté Pier-André	NSN Cycling Team		5
STR	83	 Reinderink Pepijn	Red Bull - BORA - hansgrohe		5
STR	84	 Herzog Emil	Soudal Quick-Step		5
STR	85	 Balmer Alexandre	Solution Tech NIPPO Rali		5
STR	86	 Thompson Reuben	Lotto Intermarché		5
STR	87	 Tolio Alex	Bardiani CSF 7 Saber		5
STR	88	 Dina Márton	MBH Bank CSB Telecom Fort		5
STR	89	 Budziński Marcin	MBH Bank CSB Telecom Fort		5
STR	90	 Bagioli Andrea	Lidl - Trek		5
STR	91	 Fiorelli Filippo	Team Visma | Lease a Bike		5
STR	92	 Mattio Pietro	Team Visma | Lease a Bike		5
STR	93	 Giuliano Dario	Team Polti VisitMalta		5
STR	94	 Graat Tijmen	Team Visma | Lease a Bike		5
STR	95	 Novák Pavel	Movistar Team		5
STR	96	 Schultz Nick	NSN Cycling Team		5
STR	97	 Germani Lorenzo	Groupama - FDJ United		5
STR	98	 Zwiehoff Ben	Red Bull - BORA - hansgrohe		5
STR	99	 Geleijn Owen	Unibet Rose Rockets		5
STR	100	 Warbasse Larry	Tudor Pro Cycling Team		5
STR	101	 Serrano Gonzalo	Movistar Team		5
STR	102	 Benito Adrián	Team Polti VisitMalta		5
STR	103	 Bettiol Alberto	XDS Astana Team		5
STR	104	 Mosca Jacopo	Lidl - Trek		5
STR	105	 Swift Connor	INEOS Grenadiers		5
STR	106	 Meris Sergio	Unibet Rose Rockets		5
STR	107	 Skaarseth Anders	Uno-X Mobility		5
STR	108	 Gaffuri Mattia	Team Picnic PostNL		5
STR	109	 Muñoz Francisco	Team Polti VisitMalta		5
STR	110	 Martinelli Alessio	Bardiani CSF 7 Saber		5
STR	111	 Johannink Jelle	Unibet Rose Rockets		5
STR	112	 Shmidt Artem	INEOS Grenadiers		5
STR	113	 Granger Ben	Solution Tech NIPPO Rali		5
STR	114	 Wilksch Hannes	Tudor Pro Cycling Team		5
STR	115	 Svrček Martin	Soudal Quick-Step		5
STR	116	 Holter Ådne	Uno-X Mobility		5
STR	117	 Mollema Bauke	Lidl - Trek		5
STR	DNF	 Dockx Aaron	Alpecin-Premier Tech		
STR	DNF	 Glivar Gal	Alpecin-Premier Tech		
STR	DNF	 Gogl Michael	Alpecin-Premier Tech		
STR	DNF	 Donnenwirth Tom	Groupama - FDJ United		
STR	DNF	 Conca Filippo	Team Jayco AlUla		
STR	DNF	 Covi Alessandro	Team Jayco AlUla		
STR	DNF	 De Bondt Dries	Team Jayco AlUla		
STR	DNF	 De Pretto Davide	Team Jayco AlUla		
STR	DNF	 Hatherly Alan	Team Jayco AlUla		
STR	DNF	 Novak Domen	UAE Team Emirates - XRG		
STR	DNF	 Withen Philipsen Albert	Lidl - Trek		
STR	DNF	 Kuzmin Anton	XDS Astana Team		
STR	DNF	 Azparren Xabier Mikel	Pinarello Q36.5 Pro Cycling Team		
STR	DNF	 Hermans Quinten	Pinarello Q36.5 Pro Cycling Team		
STR	DNF	 Vader Milan	Pinarello Q36.5 Pro Cycling Team		
STR	DNF	 Vervaeke Louis	Soudal Quick-Step		
STR	DNF	 Knox James	Team Picnic PostNL		
STR	DNF	 Dhondt Robbe	Team Picnic PostNL		
STR	DNF	 Dinham Matthew	Team Picnic PostNL		
STR	DNF	 Faure Prost Alexy	Team Picnic PostNL		
STR	DNF	 Peace Oliver	Team Picnic PostNL		
STR	DNF	 Moscon Gianni	Red Bull - BORA - hansgrohe		
STR	DNF	 Hoelgaard Markus	Uno-X Mobility		
STR	DNF	 Hamilton Lucas	INEOS Grenadiers		
STR	DNF	 Heiduk Kim	INEOS Grenadiers		
STR	DNF	 Adrià Roger	Movistar Team		
STR	DNF	 Torres Albert	Movistar Team		
STR	DNF	 Maciejuk Filip	Movistar Team		
STR	DNF	 Moro Manlio	Movistar Team		
STR	DNF	 Van Eetvelt Lennert	Lotto Intermarché		
STR	DNF	 Kockelmann Mathieu	Lotto Intermarché		
STR	DNF	 Berckmoes Jenno	Lotto Intermarché		
STR	DNF	 Fox Matthew	Lotto Intermarché		
STR	DNF	 Cretti Luca	MBH Bank CSB Telecom Fort		
STR	DNF	 Fancellu Alessandro	MBH Bank CSB Telecom Fort		
STR	DNF	 Nespoli Lorenzo	MBH Bank CSB Telecom Fort		
STR	DNF	 Verre Alessandro	MBH Bank CSB Telecom Fort		
STR	DNF	 Bennett George	NSN Cycling Team		
STR	DNF	 Neilands Krists	NSN Cycling Team		
STR	DNF	 Pinarello Alessandro	NSN Cycling Team		
STR	DNF	 Van Tricht Floris	NSN Cycling Team		
STR	DNF	 Paletti Luca	Bardiani CSF 7 Saber		
STR	DNF	 Stenico Mattia	Bardiani CSF 7 Saber		
STR	DNF	 Miholjević Fran	Bahrain - Victorious		
STR	DNF	 Zambanini Edoardo	Bahrain - Victorious		
STR	DNF	 Albanese Vincenzo	EF Education - EasyPost		
STR	DNF	 Nerurkar Lukas	EF Education - EasyPost		
STR	DNF	 Bessega Gabriele	Team Polti VisitMalta		
STR	DNF	 Buttigieg Aidan	Team Polti VisitMalta		
STR	DNF	 Pietrobon Andrea	Team Polti VisitMalta		
STR	DNF	 Thalmann Roland	Tudor Pro Cycling Team		
STR	DNF	 Weiss Fabian	Tudor Pro Cycling Team		
STR	DNF	 Wirtgen Luc	Tudor Pro Cycling Team		
STR	DNF	 Archibold Franklin	Solution Tech NIPPO Rali		
STR	DNF	 Verrando Luca	Solution Tech NIPPO Rali		
STR	DNF	 Iacchi Alessandro	Solution Tech NIPPO Rali		
STR	DNF	 Nencini Tommaso	Solution Tech NIPPO Rali		
STR	DNF	 Piras Andrea	Solution Tech NIPPO Rali		
NOK	1	 Philipsen Jasper	Alpecin-Premier Tech	250	125	04:16:19
NOK	2	 Meeus Jordi	Red Bull - BORA - hansgrohe	170	85	,,
NOK	3	 Molano Juan Sebastián	UAE Team Emirates - XRG	140	60	,,
NOK	4	 Jeannière Emilien	TotalEnergies	120	50	,,
NOK	5	 Menten Milan	Lotto Intermarché	100	45	,,
NOK	6	 Kubiš Lukáš	Unibet Rose Rockets	80	40	,,
NOK	7	 Biermans Jenthe	Cofidis	70	35	,,
NOK	8	 Penhoët Paul	Groupama - FDJ United	60	30	,,
NOK	9	 De Schuyteneer Steffen	Lotto Intermarché	50	26	,,
NOK	10	 Morgado António	UAE Team Emirates - XRG	40	22	,,
NOK	11	 Kolze Changizi Sebastian	Tudor Pro Cycling Team	30	20	,,
NOK	12	 Miquel Pau	Bahrain - Victorious	20	18	,,
NOK	13	 Darder Sergi	Caja Rural - Seguros RGA	10	16	,,
NOK	14	 Hofstetter Hugo	NSN Cycling Team	10	14	,,
NOK	15	 Huens Axel	Groupama - FDJ United	10	12	,,
NOK	16	 Page Hugo	Cofidis	6	10	,,
NOK	17	 Van Tricht Floris	NSN Cycling Team	6	9	,,
NOK	18	 Dainese Alberto	Soudal Quick-Step	6	8	,,
NOK	19	 Kopecký Matyáš	Unibet Rose Rockets	6	7	,,
NOK	20	 Segaert Alec	Bahrain - Victorious	6	6	,,
NOK	21	 Liepiņš Emīls	Pinarello Q36.5 Pro Cycling Team	6	5	,,
NOK	22	 Teutenberg Tim Torn	Lidl - Trek	6	4	,,
NOK	23	 Vadic Baptiste	TotalEnergies	6	3	,,
NOK	24	 Leitão Iúri	Caja Rural - Seguros RGA	6	2	,,
NOK	25	 Gruel Thibaud	Groupama - FDJ United	6	1	,,
NOK	26	 Marit Arne	Red Bull - BORA - hansgrohe	5		,,
NOK	27	 Sorarrain Gorka	Caja Rural - Seguros RGA	5		,,
NOK	28	 Rommelaere Iben	Tarteletto - Isorex	5		,,
NOK	29	 Van Hemelen Vincent	Team Flanders - Baloise	5		,,
NOK	30	 Pedersen Henrik	Uno-X Mobility	5		,,
NOK	31	 Maris Elias	Team Flanders - Baloise	3		,,
NOK	32	 Hvideberg Jonas Hem	Uno-X Mobility	3		,,
NOK	33	 Lambrecht Michiel	Team Flanders - Baloise	3		,,
NOK	34	 Vandenstorme Dylan	Team Flanders - Baloise	3		,,
NOK	35	 Tesson Jason	TotalEnergies	3		,,
NOK	36	 De Pooter Dries	Team Jayco AlUla	3		,,
NOK	37	 Renard-Haquin Henri-François	Team Picnic PostNL	3		00:09
NOK	38	 Bévort Carl-Frederik	Uno-X Mobility	3		,,
NOK	39	 Raisberg Nadav	NSN Cycling Team	3		,,
NOK	40	 Lanhove Milan	Team Flanders - Baloise	3		,,
NOK	41	 Biesterbos Frits	Team Picnic PostNL			,,
NOK	42	 Vangheluwe Warre	Soudal Quick-Step			,,
NOK	43	 Dupont Timothy	Tarteletto - Isorex			,,
NOK	44	 Larronde Ellande	Caja Rural - Seguros RGA			00:13
NOK	45	 Capiot Amaury	Team Jayco AlUla			00:15
NOK	46	 Mikutis Aivaras	Tudor Pro Cycling Team			,,
NOK	47	 Borgo Alessandro	Bahrain - Victorious			,,
NOK	48	 van Uden Casper	Team Picnic PostNL			,,
NOK	49	 Deweirdt Siebe	Team Flanders - Baloise			,,
NOK	50	 Kanter Max	XDS Astana Team			00:19
NOK	51	 Moschetti Matteo	Pinarello Q36.5 Pro Cycling Team			,,
NOK	52	 Thierry Pierre	TotalEnergies			,,
NOK	53	 Augé Ronan	Unibet Rose Rockets			00:23
NOK	54	 Einhorn Itamar	NSN Cycling Team			00:24
NOK	55	 Giaimi Luca	UAE Team Emirates - XRG			,,
NOK	56	 De Gendt Aimé	Pinarello Q36.5 Pro Cycling Team			00:26
NOK	57	 Withen Philipsen Albert	Lidl - Trek			,,
NOK	58	 Rickaert Jonas	Alpecin-Premier Tech			00:29
NOK	59	 Egholm Kristian	Lidl - Trek			,,
NOK	60	 Oliveira Rui	UAE Team Emirates - XRG			,,
NOK	61	 Kessler Cole	Modern Adventure Pro Cycling			,,
NOK	62	 Wiggins Ben	Team Jayco AlUla			,,
NOK	63	 Vergaerde Otto	Lidl - Trek			00:37
NOK	64	 de Vries Hartthijs	Unibet Rose Rockets			,,
NOK	65	 Brunel Alexys	TotalEnergies			,,
NOK	66	 Livyns Arjen	XDS Astana Team			00:42
NOK	67	 Desal Ceriel	Soudal Quick-Step			00:48
NOK	68	 Barthe Cyril	Groupama - FDJ United			00:51
NOK	69	 Tronchon Bastien	Groupama - FDJ United			,,
NOK	70	 Walscheid Max	Lidl - Trek			00:55
NOK	71	 Thijssen Gerben	Alpecin-Premier Tech			,,
NOK	72	 Gate Aaron	XDS Astana Team			,,
NOK	73	 Sentjens Sente	Alpecin-Premier Tech			,,
NOK	74	 Sénéchal Florian	Alpecin-Premier Tech			,,
NOK	75	 Bloem Joren	Unibet Rose Rockets			01:03
NOK	76	 Marcerou Nicola	TotalEnergies			,,
NOK	77	 Laengen Vegard Stake	UAE Team Emirates - XRG			,,
NOK	78	 Kockelmann Mathieu	Lotto Intermarché			,,
NOK	79	 Van Tricht Stan	Soudal Quick-Step			,,
NOK	80	 Johansen Julius	UAE Team Emirates - XRG			01:09
NOK	81	 Vervenne Jonathan	Soudal Quick-Step			01:13
NOK	82	 Syritsa Gleb	XDS Astana Team			01:37
NOK	83	 Lampaert Yves	Soudal Quick-Step			,,
NOK	84	 Eržen Žak	Bahrain - Victorious			01:40
NOK	85	 Ingebrigtsen Storm	Uno-X Mobility			,,
NOK	86	 Dunwoody Seth	Bahrain - Victorious			01:43
NOK	87	 Govekar Matevž	Bahrain - Victorious			01:53
NOK	88	 Svarre Tobias	Uno-X Mobility			01:57
NOK	89	 Frison Frederik	Pinarello Q36.5 Pro Cycling Team			01:59
NOK	90	 Giddings Joshua	Lotto Intermarché			,,
NOK	91	 Watts Kiaan	NSN Cycling Team			02:00
NOK	92	 Ibáñez Javier	Caja Rural - Seguros RGA			,,
NOK	93	 McKenzie Hamish	Team Jayco AlUla			,,
NOK	94	 Gelders Gil	Soudal Quick-Step			02:40
NOK	95	 Santy Arne	Tarteletto - Isorex			02:47
NOK	96	 van Sintmaartensdijk Roel	Lotto Intermarché			02:58
NOK	97	 Blikra Erlend	Uno-X Mobility			03:04
NOK	98	 Bruttomesso Alberto	Bahrain - Victorious			,,
NOK	99	 Donati Davide	Red Bull - BORA - hansgrohe			03:06
NOK	100	 Vermeersch Gianni	Red Bull - BORA - hansgrohe			,,
NOK	101	 Mezgec Luka	Team Jayco AlUla			03:10
NOK	102	 Michielsen Thor	Lidl - Trek			03:54
NOK	103	 Veistroffer Baptiste	Lotto Intermarché			,,
NOK	104	 Manzin Lorrenzo	TotalEnergies			03:57
NOK	105	 Bower Lewis	Groupama - FDJ United			04:21
NOK	106	 Taminiaux Lionel 	Lotto Intermarché			,,
NOK	107	 Rasenberg Martijn	Unibet Rose Rockets			04:30
NOK	108	 Tene Rotem	NSN Cycling Team			04:47
NOK	109	 Vermoote Jelle	Tarteletto - Isorex			,,
NOK	110	 Sambinello Mattia	Team Jayco AlUla			05:05
NOK	111	 Aniołkowski Stanisław	Cofidis			05:09
NOK	112	 Jakobsen Fabio	Team Picnic PostNL			05:11
NOK	113	 Roosen Timo	Team Picnic PostNL			,,
NOK	114	 McDonald Brody	Modern Adventure Pro Cycling			,,
NOK	115	 Lienhard Fabian	Tudor Pro Cycling Team			,,
NOK	116	 Małecki Kamil	Pinarello Q36.5 Pro Cycling Team			,,
NOK	117	 van der Werff Thom	Team Picnic PostNL			,,
NOK	118	 Harteel Jelle 	Tarteletto - Isorex			,,
NOK	119	 Ťoupalík Adam	Unibet Rose Rockets			,,
NOK	120	 Wang Gustav	XDS Astana Team			,,
NOK	121	 Maas Jan	Cofidis			,,
NOK	122	 Bennett Sam	Pinarello Q36.5 Pro Cycling Team			,,
NOK	123	 Christian Sean 	Modern Adventure Pro Cycling			,,
NOK	DNF	 Planckaert Edward	Alpecin-Premier Tech			
NOK	DNF	 Riesebeek Oscar	Alpecin-Premier Tech			
NOK	DNF	 Villar Iker	Caja Rural - Seguros RGA			
NOK	DNF	 Otruba Jakub	Caja Rural - Seguros RGA			
NOK	DNF	 Charret Camille	Cofidis			
NOK	DNF	 Allegaert Piet	Cofidis			
NOK	DNF	 Fontaine Titouan	Groupama - FDJ United			
NOK	DNF	 Ackermann Pascal	Team Jayco AlUla			
NOK	DNF	 Delle Vedove Alessio	XDS Astana Team			
NOK	DNF	 Gonov Lev	XDS Astana Team			
NOK	DNF	 Pidcock Joseph	Pinarello Q36.5 Pro Cycling Team			
NOK	DNF	 De Ceuster Milan	Team Picnic PostNL			
NOK	DNF	 Drizners Jarrad	Red Bull - BORA - hansgrohe			
NOK	DNF	 Etxeberria Haimar	Red Bull - BORA - hansgrohe			
NOK	DNF	 Putz Sebastian	Red Bull - BORA - hansgrohe			
NOK	DNF	 Urianstad Bugge Martin	Uno-X Mobility			
NOK	DNF	 Crabbe Tom	Team Flanders - Baloise			
NOK	DNF	 Killy Jonah 	Tarteletto - Isorex			
NOK	DNF	 Moonen Zeno	Tarteletto - Isorex			
NOK	DNF	 Verbrugghe Jens	NSN Cycling Team			
NOK	DNF	 Guillemette Mathias	Tudor Pro Cycling Team			
NOK	DNF	 Van Den Boer Seppe	Tudor Pro Cycling Team			
NOK	DNF	 Scala Hugo	Modern Adventure Pro Cycling			
NOK	DNF	 Wright Paul	Modern Adventure Pro Cycling			
NOK	DNF	 Boardman Samuel	Modern Adventure Pro Cycling			
NOK	DNF	 Oliver Ben	Modern Adventure Pro Cycling			
BKC	1	 Groenewegen Dylan	Unibet Rose Rockets	250	125	04:27:58
BKC	2	 Ackermann Pascal	Team Jayco AlUla	170	85	,,
BKC	3	 Bittner Pavel	Team Picnic PostNL	140	60	,,
BKC	4	 De Schuyteneer Steffen	Lotto Intermarché	120	50	,,
BKC	5	 Kanter Max	XDS Astana Team	100	45	,,
BKC	6	 Aniołkowski Stanisław	Cofidis	80	40	,,
BKC	7	 Mozzato Luca	Tudor Pro Cycling Team	70	35	,,
BKC	8	 Renard Alexis	Cofidis	60	30	,,
BKC	9	 Tesson Jason	TotalEnergies	50	26	,,
BKC	10	 Thijssen Gerben	Alpecin-Premier Tech	40	22	,,
BKC	11	 Molano Juan Sebastián	UAE Team Emirates - XRG	30	20	,,
BKC	12	 Theuns Edward	Lidl - Trek	20	18	,,
BKC	13	 Dekker David	BEAT CC p/b Saxo	10	16	,,
